Office,id_10,id_11,id_12,id_13,id_14,id_15,id_16,id_17,id_18,id_19,id_20,id_21,id_22,id_23,id_24,id_25,id_26,id_27,year,,,,
"Stevens Point, WI",187,14111.2,28,2981.33,,,,,,,,,,,,,,,1868,,,,
"La Crosse, WI",668,74513.04,307,29997.9,,,,,,,,,,,,,,,1868,,,,
"Bayfield, WI",1,160,,,,,,,,,,,,,,,,,1868,,,,
"Eau Claire, WI",199,24375.34,94,10020.47,,,,,,,,,,,,,,,1868,,,,
"Taylors Falls, MN",278,31044.71,26,3572.61,,,,,,,,,,,,,,,1868,,,,
"St. Cloud, MN",1268,179667.61,147,20326.15,,,,,,,,,,,,,,,1868,,,,
"Winnebago, MN",416,39703.13,133,18614.79,,,,,,,,,,,,,,,1868,,,,
"Greenleaf, MN",445,36539.95,181,17719.71,,,,,,,,,,,,,,,1868,,,,
"St. Peter, MN",535,51400.06,420,52514.73,,,,,,,,,,,,,,,1868,,,,
"Henderson, MN",,,,,,,,,,,,,,,,,,,1868,,,,
"Duluth, MN",5,472.07,6,838.53,,,,,,,,,,,,,,,1868,,,,
"San Francisco, CA",59,8666.03,29,4599.11,,,,,,,,,,,,,,,1868,,,,
"Marysville, CA",220,33717.83,28,4377.68,,,,,,,,,,,,,,,1868,,,,
"Humboldt, CA",18,2635.8,1,160,,,,,,,,,,,,,,,1868,,,,
"Stockton, CA",145,21218.05,11,1775.04,,,,,,,,,,,,,,,1868,,,,
"Visalia, CA",81,9243.71,10,1373.67,,,,,,,,,,,,,,,1868,,,,
"Sacramento, CA",3,194.8,,,,,,,,,,,,,,,,,1868,,,,
"Oregon City, OR",219,29002.55,10,1476.65,,,,,,,,,,,,,,,1868,,,,
"Roseburg, OR",200,29357.2,17,2591.57,,,,,,,,,,,,,,,1868,,,,
"La Grande, OR",140,20590.17,,,,,,,,,,,,,,,,,1868,,,,
"Olympia, WA",65,9984.58,29,4432.1,3,,,,,,,,,,,,,,1868,,,,
"Vancouver, WA",106,16230.15,30,4727.81,,,,,,,,,,,,,,,1868,,,,
"Topeka, KS",344,28593.56,186,27701.47,,,,,,,,,,,,,,,1868,,,,
"Humboldt, KS",452,51174.14,168,25550.79,,,,,,,,,,,,,,,1868,,,,
"Junction City, KS",695,86208.01,102,15162.99,,,,,,,,,,,,,,,1868,,,,
"Omaha, NE",975,107435.45,48,7091.94,,,,,,,,,,,,,,,1868,,,,
"Brownville, NE",824,119074.91,39,5604.8,,,,,,,,,,,,,,,1868,,,,
"Nebraska City, NE",694,60114.06,32,5065.71,,,,,,,,,,,,,,,1868,,,,
"Dakota City, NE",248,39852.51,20,2941.82,,,,,,,,,,,,,,,1868,,,,
"Denver, CO",59,6754.69,,,,,,,,,,,,,,,,,1868,,,,
"Vermillion, SD",612,96547.98,29,4602.36,,,,,,,,,,,,,,,1868,,,,
"Carson City, NV",8,1028.58,,,,,,,,,,,,,,,,,1868,,,,
"Austin, NV",2,320,,,,,,,,,,,,,,,,,1868,,,,
