id,date_begin,date_end,source_no,name_michno,name_friedman,state,ident_friedman,natives dead,natives dead (amended),natives wounded,natives wounded (amended),natives captured,natives captured (amended),us combatants dead,us combatants wounded,us combatants wounded (amended),us civilians dead,us civilians dead (amended),us civilians wounded,us civilians captured,source,nation 1,nation 2,nation 3,nation 4,pop_group,native casualties,us combatant casualties,us civilian casualties,total casualties,type engagement,x,y
310,1863/12/04,1863/12/04,7,Niobrara,Niobrara,Nebraska,NE-1863/12/04,7,7,,,,,,,,,,,,Michno: Encyclopedia,Ponca,,,,1,7,0,0,7,10,-97.92133368,42.73017819
10,1863/12/11,1863/12/11,18,Riconde Mascares,Riconde Massacres,Arizona,AZ-1863/12/11,1,1,1,1,16,16,,3,3,,,,,Michno: Encyclopedia,Navajo,,,,4,2,3,0,5,4,-109.769202,35.54287234
378,1863/12/16,1863/12/16,43,Fort Sumner,Ft. Sumner,New Mexico,AZ-1863/12/16,13,13,several,5,,,,,,,,,,Michno: Encyclopedia,Navajo,,,,4,18,0,0,18,10,-104.5480968,34.74833752
451,1863/12/16,1863/12/16,7,St. Joseph,Dakota War- St. Joseph,North Dakota,DK-1863/12/16,6,6,,,,,,2,2,,,,,Michno: Encyclopedia,Lakota Sioux,,,,4,6,2,0,8,8,-98.30525855,48.92909384
147,1863/12/23,1863/12/26,12,Christmas Pairie,Arcata,California,CA-1863/12/25,2,2,,,,,,1,1,,,,,Michno: Forgotten Fights,Unidentified,,,,3,2,1,0,3,7,-123.9605495,40.74279848
11,1863/12/29,1863/12/29,11, Butterworth’s Fight,Patagonia,Arizona,AZ-1863/12/29,,,,,,,,,,2,2,,,Michno: Forgotten Fights,Chiricahua Apache,,,,3,0,0,2,2,0,-110.9789932,31.42426237
379,1864/01/04,1864/01/04,44,Bosque Redondo,Ft. Sumner pursuit,New Mexico,AZ-1864/01/04,40,40,25,25,,,,,,,,,,Michno: Encyclopedia,Navajo,,,,4,65,0,0,65,10,-104.4507183,34.28646633
12,1864/01/12,1864/01/14,19,Canyon de Chelly,Canyon de Chelly,Arizona,AZ-1864/01/12,23,23,5,5,234,234,,,,,,,,Michno: Encyclopedia,Navajo,,,,4,28,0,0,28,10,-109.5924285,36.17758972
380,1864/01/12,1864/01/12,45,Datil Mountains,Datil Mountains,New Mexico,NM-1864/01/12,3,3,,,3,3,,,,,,,,Michno: Encyclopedia,Navajo,,,,4,3,0,0,3,10,-107.8527317,34.31119915
13,1864/01/24,1864/01/24,20,Fish Creek Canyon,Apache War- Woolsey raid,Arizona,AZ-1864/01/24,19,19,several,5,,,1,,,,,,,Michno: Encyclopedia,Pinal Apache,Coyo Apache,,,1,24,1,0,25,10,-111.286807,33.49520746
381,1864/01/29,1864/01/29,46,San Andres Mountains,Apache War- San Andres Mountains,New Mexico,NM-1864/01/29,7,7,,,,,,5,5,,,,,Michno: Encyclopedia,Mimbres Apache,,,,3,7,5,0,12,6,-106.5658976,33.40943094
382,1864/02/25,1864/02/25,47,Pinos Altos Mines,Apache War- Pinos Altos,New Mexico,NM-1864/02/25,13,13,6,6,,,,,,,,,,Michno: Encyclopedia,Chiricahua Apache,,,,3,19,0,0,19,10,-108.3437869,32.64452207
148,1864/02/29,1864/02/29,44,Redwood Creek,Redwood Creek,California,CA-1864/02/29,3,3,several,5,5,5,,,,,,,,Michno: Encyclopedia,Unidentified,,,,3,8,0,0,8,10,-123.8450814,40.6656852
149,1864/03/19,1864/03/28,45,"East Branch, South Fork Eel River",Eel River,California,CA-1864/03/19,25,25,,,15,15,,,,,,,,Michno: Encyclopedia,Eel River,,,,1,25,0,0,25,10,-123.5533378,39.91773228
14,1864/04/07,1864/04/07,21,Sierra Bonita,Apache War- Sierra Bonita,Arizona,AZ-1864/04/07,21,21,,,,,,,,,,,,Michno: Encyclopedia,Chiricahua Apache,,,,3,21,0,0,21,10,-109.4340179,32.71111489
478,1864/04/07,1864/04/07,36,Harney Lake Valley,Harney Lake Valley,Oregon,OR-1864/04/07,5,5,,,,,4,1,1,,,,,Michno: Encyclopedia,Paiute,,,,4,5,5,0,10,5,-119.1127319,42.86121703
